account_id,customer_id,account_type,currency,balance
ACC0000072,CUST009647,Current,GBP,4578587.05
ACC0000073,CUST001306,Current,USD,4173387.81
ACC0000074,CUST009351,Savings,INR,1776449.11
ACC0000075,CUST009152,Current,AED,750402.92
ACC0000076,CUST008062,Savings,GBP,1443297.03
ACC0000077,CUST007345,Escrow,GBP,1611856.53
ACC0000078,CUST001237,Nostro,EUR,2804596.77
ACC0000079,CUST001617,Nostro,AED,3721883.19
ACC0000080,CUST003213,Savings,EUR,4720083.02
ACC0000081,CUST007261,Nostro,EUR,4419865.22
ACC0000082,CUST009676,Current,GBP,2576958.18
ACC0000083,CUST001945,Savings,AED,3769521.5
ACC0000084,CUST008371,Savings,USD,4715597.41
ACC0000085,CUST002152,Escrow,GBP,2110595.3
ACC0000086,CUST009283,Escrow,AED,3175465.13
ACC0000087,CUST009514,Escrow,AED,4434609.6
ACC0000088,CUST002222,Escrow,EUR,2057438.62
ACC0000089,CUST009508,Current,EUR,3648413.88
ACC0000090,CUST009406,Savings,EUR,4346528.16
ACC0000091,CUST000440,Escrow,EUR,1775759.92
ACC0000092,CUST004857,Escrow,GBP,4199448.89
ACC0000093,CUST007372,Escrow,GBP,3002515.67
ACC0000094,CUST007602,Escrow,EUR,2412254.52
ACC0000095,CUST008307,Current,INR,4512296.83
ACC0000096,CUST005212,Current,EUR,2622628.19
ACC0000097,CUST003149,Savings,EUR,1175393.85
ACC0000098,CUST003670,Savings,GBP,2338397.06
ACC0000099,CUST004629,Current,USD,2170301.2
ACC0000100,CUST009215,Escrow,GBP,2244262.66
ACC0000101,CUST007320,Savings,AED,4523577.99
ACC0000102,CUST006031,Nostro,EUR,15601.59
ACC0000103,CUST005889,Savings,INR,4865267.51
ACC0000104,CUST003443,Savings,INR,1243099.57
ACC0000105,CUST000050,Nostro,AED,3990904.63
ACC0000106,CUST009183,Savings,AED,2626673.85
ACC0000107,CUST000247,Savings,USD,2942318.76
ACC0000108,CUST005678,Nostro,EUR,1992055.36
ACC0000109,CUST003572,Current,AED,2613351.86
ACC0000110,CUST003528,Escrow,INR,2193466.28
ACC0000111,CUST009538,Current,AED,3918617.92
ACC0000112,CUST000167,Escrow,USD,942522.57
ACC0000113,CUST001362,Nostro,GBP,1124628.03
ACC0000114,CUST005023,Nostro,AED,394140.73
ACC0000115,CUST008062,Nostro,EUR,15761.27
ACC0000116,CUST008945,Nostro,AED,3712943.85
ACC0000117,CUST007996,Current,INR,3516454.18
ACC0000118,CUST002595,Nostro,AED,2642391.36
ACC0000119,CUST005181,Escrow,USD,1280868.86
ACC0000120,CUST006923,Nostro,INR,4849626.43
ACC0000121,CUST004107,Current,EUR,4667449.11
ACC0000122,CUST006420,Escrow,USD,1330350.25
ACC0000123,CUST008282,Escrow,USD,2798436.1
ACC0000124,CUST008069,Current,INR,4452094.61
ACC0000125,CUST004041,Savings,INR,1861240.91
ACC0000126,CUST006524,Escrow,EUR,309796.69
ACC0000127,CUST001256,Escrow,INR,2324103.56
ACC0000128,CUST000119,Nostro,GBP,3579202.63
ACC0000129,CUST009377,Savings,INR,2381892.18
ACC0000130,CUST001287,Current,USD,862783.53
ACC0000131,CUST003970,Current,AED,2913320.83
ACC0000132,CUST006515,Current,GBP,175217.13
ACC0000133,CUST005120,Escrow,INR,4340285.99
ACC0000134,CUST001473,Escrow,USD,1477172.17
ACC0000135,CUST007905,Nostro,INR,1394488.73
ACC0000136,CUST005660,Nostro,GBP,1638646.69
ACC0000137,CUST003004,Savings,USD,4668057.94
ACC0000138,CUST005575,Nostro,AED,375433.89
ACC0000139,CUST004943,Current,GBP,3279572.69
ACC0000140,CUST006655,Savings,INR,3451426.53
ACC0000141,CUST006257,Savings,USD,2562899.0
ACC0000142,CUST005042,Escrow,GBP,95871.31
ACC0000143,CUST007315,Nostro,GBP,1044357.37
ACC0000144,CUST002939,Nostro,INR,321974.04
ACC0000145,CUST009285,Current,EUR,1829778.44
ACC0000146,CUST006515,Nostro,EUR,98891.61
ACC0000147,CUST006437,Escrow,AED,2135301.36
ACC0000148,CUST007863,Escrow,AED,3125509.56
ACC0000149,CUST003408,Nostro,INR,1545036.18
ACC0000150,CUST005607,Savings,GBP,4741139.55
ACC0000151,CUST004514,Escrow,GBP,3854509.4
ACC0000152,CUST001063,Nostro,USD,1730826.81
ACC0000153,CUST000402,Current,GBP,982076.21
ACC0000154,CUST005754,Current,AED,1386797.88
ACC0000155,CUST006204,Savings,AED,767505.63
ACC0000156,CUST004219,Escrow,GBP,492084.84
ACC0000157,CUST003350,Savings,EUR,429437.92
ACC0000158,CUST000566,Nostro,AED,3277612.68
ACC0000159,CUST001700,Savings,EUR,3829732.86
ACC0000160,CUST004592,Savings,AED,1326773.13
ACC0000161,CUST007735,Current,AED,2804795.85
ACC0000162,CUST009435,Savings,INR,1812180.06
ACC0000163,CUST009924,Current,EUR,4294190.11
ACC0000164,CUST003918,Savings,USD,4091273.42
ACC0000165,CUST006407,Savings,GBP,2912870.28
ACC0000166,CUST003605,Savings,AED,2142765.48
ACC0000167,CUST008022,Current,INR,4911783.54
ACC0000168,CUST009954,Savings,GBP,4893046.98
ACC0000169,CUST001772,Savings,AED,3846619.62
ACC0000170,CUST003472,Current,INR,2138329.7
ACC0000171,CUST003916,Current,AED,1059633.99
ACC0000172,CUST002785,Nostro,GBP,580132.46
ACC0000173,CUST008092,Current,EUR,2251000.09
ACC0000174,CUST002005,Escrow,INR,2457523.39
ACC0000175,CUST001399,Current,EUR,703654.2
ACC0000176,CUST002447,Savings,USD,4729683.8
ACC0000177,CUST005346,Current,USD,3658407.59
ACC0000178,CUST005921,Savings,INR,4528810.8
ACC0000179,CUST004051,Nostro,EUR,838259.62
ACC0000180,CUST008904,Escrow,USD,3591926.82
ACC0000181,CUST005801,Current,GBP,3593861.01
ACC0000182,CUST000460,Nostro,INR,1332660.36
ACC0000183,CUST007313,Escrow,INR,3780337.24
ACC0000184,CUST007031,Savings,AED,3331125.56
ACC0000185,CUST008819,Savings,INR,2681046.47
ACC0000186,CUST002107,Nostro,GBP,1931135.33
ACC0000187,CUST002639,Current,EUR,973357.8
ACC0000188,CUST002133,Escrow,INR,1060063.01
ACC0000189,CUST007068,Nostro,EUR,4390806.43
ACC0000190,CUST002319,Savings,USD,4531117.23
ACC0000191,CUST002264,Nostro,USD,4280461.08
ACC0000192,CUST003277,Escrow,AED,3625338.81
ACC0000193,CUST006435,Current,USD,1702357.61
ACC0000194,CUST001705,Nostro,GBP,4996045.33
ACC0000195,CUST008544,Escrow,AED,1400929.53
ACC0000196,CUST005689,Current,GBP,1291192.11
ACC0000197,CUST004638,Current,EUR,2121580.24
ACC0000198,CUST003520,Nostro,GBP,390261.28
ACC0000199,CUST005640,Escrow,AED,1498086.49
ACC0000200,CUST000551,Escrow,GBP,912938.94
ACC0000201,CUST005732,Savings,USD,2895343.77
ACC0000202,CUST002101,Nostro,GBP,4179227.04
ACC0000203,CUST008809,Savings,GBP,3634480.17
ACC0000204,CUST001945,Nostro,GBP,4595365.76
ACC0000205,CUST009014,Escrow,EUR,1591013.07
ACC0000206,CUST004323,Escrow,USD,3585135.49
ACC0000207,CUST001981,Nostro,EUR,138430.61
ACC0000208,CUST007012,Escrow,USD,1731711.85
ACC0000209,CUST000009,Current,EUR,4694339.77
ACC0000210,CUST003068,Current,GBP,976349.33
ACC0000211,CUST007350,Escrow,INR,1295612.17
ACC0000212,CUST004674,Escrow,USD,1409117.72
ACC0000213,CUST004102,Savings,EUR,586197.29
ACC0000214,CUST002817,Savings,INR,1613947.08
ACC0000215,CUST006963,Savings,INR,4300374.99
ACC0000216,CUST009170,Current,AED,878391.19
ACC0000217,CUST007765,Current,AED,2507931.84
ACC0000218,CUST002990,Savings,INR,2901571.7
ACC0000219,CUST002120,Nostro,USD,3130763.45
ACC0000220,CUST000065,Nostro,USD,978052.84
ACC0000221,CUST005661,Nostro,EUR,2824729.38
ACC0000222,CUST003467,Current,USD,2449736.94
ACC0000223,CUST009520,Savings,AED,4229440.6
ACC0000224,CUST009507,Current,USD,1576080.4
ACC0000225,CUST000373,Current,USD,847292.32
ACC0000226,CUST009793,Savings,GBP,4187705.23
ACC0000227,CUST009375,Savings,GBP,3944226.95
ACC0000228,CUST004107,Savings,USD,2156333.74
ACC0000229,CUST000557,Savings,USD,4203777.04
ACC0000230,CUST004910,Current,AED,22700.06
ACC0000231,CUST007665,Escrow,INR,63239.28
ACC0000232,CUST007884,Current,EUR,529452.84
ACC0000233,CUST005688,Current,EUR,2710697.59
ACC0000234,CUST002432,Nostro,EUR,68009.61
ACC0000235,CUST008358,Nostro,AED,808673.39
ACC0000236,CUST000819,Nostro,INR,4730369.61
ACC0000237,CUST001381,Savings,USD,3230759.75
ACC0000238,CUST008360,Escrow,EUR,4811764.04
ACC0000239,CUST000353,Escrow,GBP,2889449.12
ACC0000240,CUST001796,Current,EUR,550345.48
ACC0000241,CUST009548,Current,USD,2029074.88
ACC0000242,CUST008206,Escrow,USD,2356429.96
ACC0000243,CUST005635,Current,INR,730381.97
ACC0000244,CUST009867,Escrow,AED,1396781.68
ACC0000245,CUST003339,Nostro,USD,3493395.78
ACC0000246,CUST009247,Escrow,AED,4605512.53
ACC0000247,CUST006986,Escrow,INR,1676384.32
ACC0000248,CUST003017,Nostro,AED,4615649.42
ACC0000249,CUST009748,Nostro,EUR,409064.95
ACC0000250,CUST009528,Nostro,EUR,3357667.36
ACC0000251,CUST008138,Current,INR,2338916.06
ACC0000252,CUST001447,Current,INR,1161284.55
ACC0000253,CUST003091,Savings,EUR,4073929.43
ACC0000254,CUST005724,Savings,INR,3127766.0
ACC0000255,CUST007704,Savings,USD,1328898.54
ACC0000256,CUST005545,Current,GBP,1603009.11
ACC0000257,CUST008902,Escrow,EUR,1238391.86
ACC0000258,CUST001806,Nostro,USD,2710080.97
ACC0000259,CUST000926,Escrow,INR,321967.53
ACC0000260,CUST004980,Savings,INR,562575.33
ACC0000261,CUST008552,Nostro,AED,1284320.05
ACC0000262,CUST001879,Savings,EUR,1626546.13
ACC0000263,CUST009514,Nostro,INR,2379570.68
ACC0000264,CUST003814,Escrow,EUR,2115524.75
ACC0000265,CUST008991,Current,GBP,1115531.34
ACC0000266,CUST003572,Escrow,GBP,116466.08
ACC0000267,CUST000011,Current,AED,2734314.6
ACC0000268,CUST001919,Current,INR,4485548.72
ACC0000269,CUST004064,Savings,USD,1368877.78
ACC0000270,CUST004447,Savings,USD,1922500.67
ACC0000271,CUST004351,Nostro,INR,3330301.31
ACC0000272,CUST009960,Current,AED,2435849.51
ACC0000273,CUST005413,Nostro,INR,4954253.37
ACC0000274,CUST009800,Current,GBP,1425350.92
ACC0000275,CUST003907,Escrow,AED,2790472.23
ACC0000276,CUST000669,Savings,GBP,1836243.61
ACC0000277,CUST004204,Savings,INR,4873360.02
ACC0000278,CUST004647,Nostro,INR,2622799.42
ACC0000279,CUST009967,Current,INR,4779788.45
ACC0000280,CUST006823,Nostro,EUR,3066316.95
ACC0000281,CUST001531,Savings,USD,4672169.35
ACC0000282,CUST003124,Current,EUR,2353455.67
ACC0000283,CUST002760,Escrow,EUR,1440670.62
ACC0000284,CUST003894,Current,EUR,1735251.2
ACC0000285,CUST005518,Current,EUR,1390806.71
ACC0000286,CUST008453,Current,INR,1877860.92
ACC0000287,CUST001807,Current,AED,523234.45
ACC0000288,CUST006158,Nostro,INR,88783.93
ACC0000289,CUST005342,Savings,INR,2701770.56
ACC0000290,CUST005377,Savings,EUR,1446872.03
ACC0000291,CUST004449,Nostro,GBP,3564125.72
ACC0000292,CUST003207,Savings,INR,2626390.44
ACC0000293,CUST007121,Escrow,GBP,1280798.26
ACC0000294,CUST009253,Savings,GBP,4593361.21
ACC0000295,CUST008357,Current,USD,3844924.42
ACC0000296,CUST006723,Current,INR,2345072.15
ACC0000297,CUST009141,Escrow,USD,879594.64
ACC0000298,CUST001326,Escrow,INR,3141078.18
ACC0000299,CUST003571,Current,EUR,3137634.45
ACC0000300,CUST008606,Current,EUR,3693042.59
ACC0000301,CUST002107,Savings,USD,1635640.43
ACC0000302,CUST008702,Current,INR,3234293.35
ACC0000303,CUST001906,Savings,EUR,2317087.87
ACC0000304,CUST001614,Nostro,INR,2727820.02
ACC0000305,CUST007371,Nostro,GBP,634505.19
ACC0000306,CUST006374,Escrow,EUR,3916057.52
ACC0000307,CUST000319,Current,GBP,4349159.0
ACC0000308,CUST002277,Nostro,AED,2219096.63
ACC0000309,CUST006739,Nostro,EUR,462769.94
ACC0000310,CUST005548,Nostro,GBP,4372625.49
ACC0000311,CUST008931,Nostro,EUR,2841105.48
ACC0000312,CUST005782,Current,AED,1955031.74
ACC0000313,CUST004166,Current,INR,4931808.48
ACC0000314,CUST004336,Current,AED,4784227.62
ACC0000315,CUST005485,Nostro,GBP,1556650.55
ACC0000316,CUST009363,Escrow,USD,3246003.19
ACC0000317,CUST006130,Savings,INR,2105308.83
ACC0000318,CUST004034,Escrow,USD,3970883.69
ACC0000319,CUST000789,Escrow,EUR,1952176.65
ACC0000320,CUST006592,Escrow,GBP,3507998.76
ACC0000321,CUST004207,Nostro,USD,71021.67
ACC0000322,CUST003943,Current,GBP,2404341.77
ACC0000323,CUST009728,Escrow,INR,2022208.09
ACC0000324,CUST005688,Current,INR,4989836.53
ACC0000325,CUST004546,Nostro,INR,3978616.99
ACC0000326,CUST007171,Savings,EUR,1119079.63
ACC0000327,CUST000699,Escrow,AED,244526.44
ACC0000328,CUST001687,Savings,USD,2297874.22
ACC0000329,CUST006856,Escrow,USD,1031982.84
ACC0000330,CUST009950,Savings,GBP,901460.83
ACC0000331,CUST006874,Current,INR,2305831.27
ACC0000332,CUST007331,Savings,EUR,1716886.62
ACC0000333,CUST008273,Current,USD,636304.94
ACC0000334,CUST007121,Current,USD,1677664.29
ACC0000335,CUST004260,Savings,EUR,4602157.02
ACC0000336,CUST000090,Current,AED,640492.55
ACC0000337,CUST003314,Savings,INR,258133.79
ACC0000338,CUST005314,Savings,INR,1377419.8
ACC0000339,CUST006539,Escrow,GBP,85858.57
ACC0000340,CUST007425,Current,AED,4620508.57
ACC0000341,CUST006099,Savings,USD,566407.86
ACC0000342,CUST001271,Nostro,EUR,1475443.87
ACC0000343,CUST008309,Savings,GBP,4250741.82
ACC0000344,CUST002912,Escrow,GBP,967036.73
ACC0000345,CUST001745,Nostro,AED,4668185.85
ACC0000346,CUST003880,Savings,EUR,1438801.22
ACC0000347,CUST002469,Current,GBP,750985.51
ACC0000348,CUST009617,Escrow,GBP,1819537.33
ACC0000349,CUST008535,Escrow,INR,1891344.49
ACC0000350,CUST003181,Savings,INR,1037855.81
ACC0000351,CUST002173,Savings,INR,2170500.53
ACC0000352,CUST009046,Current,EUR,16118.88
ACC0000353,CUST008387,Savings,INR,4159174.45
ACC0000354,CUST005479,Nostro,EUR,1314655.68
ACC0000355,CUST001436,Savings,GBP,502601.15
ACC0000356,CUST001702,Savings,USD,1452185.35
ACC0000357,CUST001278,Escrow,AED,3566844.97
ACC0000358,CUST009714,Nostro,GBP,4968922.44
ACC0000359,CUST005602,Nostro,EUR,4477577.58
ACC0000360,CUST006361,Escrow,USD,1719442.21
ACC0000361,CUST006734,Escrow,INR,512538.91
ACC0000362,CUST002013,Savings,INR,1141159.3
ACC0000363,CUST006010,Escrow,GBP,611145.13
ACC0000364,CUST007281,Nostro,EUR,1722875.72
ACC0000365,CUST002830,Savings,INR,237015.4
ACC0000366,CUST002138,Savings,GBP,4890170.4
ACC0000367,CUST002115,Savings,EUR,458260.45
ACC0000368,CUST006309,Nostro,USD,4940241.9
ACC0000369,CUST003156,Nostro,INR,4055552.41
ACC0000370,CUST007400,Savings,INR,330774.34
ACC0000371,CUST005190,Savings,AED,808877.95
ACC0000372,CUST000143,Savings,INR,2108653.11
ACC0000373,CUST007720,Escrow,GBP,628852.02
ACC0000374,CUST001911,Current,EUR,4600913.23
ACC0000375,CUST004024,Current,INR,389426.41
ACC0000376,CUST001880,Current,GBP,1962108.08
ACC0000377,CUST000788,Nostro,USD,3241674.43
ACC0000378,CUST000768,Nostro,AED,1702376.67
ACC0000379,CUST006342,Escrow,AED,4053916.68
ACC0000380,CUST005676,Current,INR,1001580.72
ACC0000381,CUST009785,Nostro,USD,2361147.29
ACC0000382,CUST002976,Savings,EUR,3862708.17
ACC0000383,CUST008673,Savings,AED,4529247.73
ACC0000384,CUST009838,Current,USD,1703004.8
ACC0000385,CUST003514,Savings,GBP,1339659.21
ACC0000386,CUST008910,Current,EUR,3864876.23
ACC0000387,CUST006705,Escrow,GBP,2313524.73
ACC0000388,CUST006536,Nostro,GBP,1067085.12
ACC0000389,CUST005776,Savings,AED,2834310.13
ACC0000390,CUST004200,Escrow,USD,3812945.22
ACC0000391,CUST002723,Nostro,GBP,3418819.01
ACC0000392,CUST004247,Escrow,GBP,2910037.62
ACC0000393,CUST001079,Current,EUR,170800.06
ACC0000394,CUST008345,Nostro,EUR,2720885.84
ACC0000395,CUST001975,Savings,USD,817189.2
ACC0000396,CUST004368,Nostro,AED,3991705.63
ACC0000397,CUST004562,Escrow,GBP,2679571.31
ACC0000398,CUST008606,Nostro,EUR,3891622.8
ACC0000399,CUST005086,Nostro,GBP,402339.65
ACC0000400,CUST004301,Savings,INR,3146791.14
ACC0000401,CUST007594,Savings,AED,3714818.87
ACC0000402,CUST001525,Nostro,USD,1897480.63
ACC0000403,CUST000909,Escrow,INR,1097477.64
ACC0000404,CUST009492,Current,GBP,1171917.43
ACC0000405,CUST008767,Savings,EUR,2016399.68
ACC0000406,CUST004615,Escrow,INR,4709158.93
ACC0000407,CUST002168,Savings,AED,1758306.1
ACC0000408,CUST004325,Nostro,USD,4481661.91
ACC0000409,CUST009357,Current,USD,2207732.03
ACC0000410,CUST000172,Escrow,EUR,2207279.62
ACC0000411,CUST003568,Current,AED,4812720.32
ACC0000412,CUST007551,Current,USD,4264756.76
ACC0000413,CUST003504,Nostro,EUR,2796758.61
ACC0000414,CUST002637,Current,EUR,1718634.08
ACC0000415,CUST003476,Current,AED,436516.33
ACC0000416,CUST009539,Savings,AED,4663166.12
ACC0000417,CUST008471,Current,AED,4202872.58
ACC0000418,CUST003454,Nostro,INR,2212339.19
ACC0000419,CUST008198,Nostro,AED,3192994.97
ACC0000420,CUST005274,Nostro,INR,1816551.29
ACC0000421,CUST006410,Current,GBP,470070.31
ACC0000422,CUST001420,Nostro,EUR,665995.06
ACC0000423,CUST008229,Nostro,EUR,3847904.65
ACC0000424,CUST006668,Savings,INR,2347660.68
ACC0000425,CUST006434,Savings,EUR,4377788.5
ACC0000426,CUST002903,Nostro,USD,4090198.76
ACC0000427,CUST002018,Nostro,GBP,4358791.1
ACC0000428,CUST006710,Nostro,INR,3547451.03
ACC0000429,CUST004400,Escrow,GBP,1018407.56
ACC0000430,CUST000574,Current,GBP,1298326.51
ACC0000431,CUST003481,Savings,AED,1308417.69
ACC0000432,CUST005314,Nostro,GBP,3998671.22
ACC0000433,CUST001463,Savings,USD,699396.3
ACC0000434,CUST008540,Nostro,AED,501111.82
ACC0000435,CUST001293,Savings,INR,4798221.26
ACC0000436,CUST009940,Savings,INR,2768596.11
ACC0000437,CUST008527,Savings,INR,4985994.67
ACC0000438,CUST002491,Savings,USD,3561401.86
ACC0000439,CUST002703,Nostro,INR,4047158.31
ACC0000440,CUST006992,Escrow,AED,2193620.25
ACC0000441,CUST006617,Savings,AED,794943.18
ACC0000442,CUST002698,Escrow,EUR,2242108.93
ACC0000443,CUST000990,Current,INR,2991884.35
ACC0000444,CUST007879,Escrow,USD,1639047.85
ACC0000445,CUST004811,Escrow,USD,1827053.83
ACC0000446,CUST009793,Nostro,AED,91601.24
ACC0000447,CUST001889,Savings,INR,1087324.15
ACC0000448,CUST005447,Savings,INR,591266.08
ACC0000449,CUST005540,Savings,GBP,3423013.34
ACC0000450,CUST003253,Escrow,GBP,1944501.19
ACC0000451,CUST009528,Savings,EUR,308147.42
ACC0000452,CUST007792,Nostro,EUR,1492562.57
ACC0000453,CUST000375,Savings,INR,1339740.27
ACC0000454,CUST002876,Savings,INR,370670.32
ACC0000455,CUST004266,Nostro,EUR,903122.93
ACC0000456,CUST005686,Nostro,GBP,4903449.95
ACC0000457,CUST002667,Current,EUR,4052441.19
ACC0000458,CUST009038,Nostro,GBP,1586395.62
ACC0000459,CUST002526,Escrow,AED,1426064.24
ACC0000460,CUST006020,Current,GBP,4835006.31
ACC0000461,CUST003417,Escrow,INR,2313177.93
ACC0000462,CUST002438,Nostro,AED,2883234.28
ACC0000463,CUST009503,Savings,AED,3171518.51
ACC0000464,CUST009160,Escrow,EUR,2527443.08
ACC0000465,CUST008658,Current,INR,156195.28
ACC0000466,CUST005580,Savings,AED,1722746.99
ACC0000467,CUST005106,Savings,INR,1570396.33
ACC0000468,CUST003463,Escrow,INR,4742827.89
ACC0000469,CUST001567,Escrow,USD,3263216.36
ACC0000470,CUST000293,Escrow,USD,2483259.19
ACC0000471,CUST004272,Savings,INR,225886.98
ACC0000472,CUST005727,Current,USD,3249337.28
ACC0000473,CUST004814,Current,EUR,2850836.56
ACC0000474,CUST003716,Escrow,EUR,3671069.97
ACC0000475,CUST008399,Current,INR,4655263.45
ACC0000476,CUST008321,Nostro,AED,501944.33
ACC0000477,CUST005703,Current,GBP,4321474.09
ACC0000478,CUST002797,Nostro,AED,3785713.1
ACC0000479,CUST008565,Nostro,INR,1541916.12
ACC0000480,CUST005035,Escrow,INR,1301757.11
ACC0000481,CUST008393,Escrow,EUR,4074110.4
ACC0000482,CUST005723,Current,GBP,3490798.76
ACC0000483,CUST006564,Savings,USD,2957875.78
ACC0000484,CUST003270,Escrow,AED,169836.42
ACC0000485,CUST001034,Escrow,AED,2617731.24
ACC0000486,CUST000226,Nostro,EUR,4234000.51
ACC0000487,CUST003861,Savings,INR,3903596.78
ACC0000488,CUST009533,Nostro,EUR,3872466.78
ACC0000489,CUST009771,Current,GBP,512823.73
ACC0000490,CUST005152,Savings,AED,1510242.81
ACC0000491,CUST007656,Escrow,EUR,4107169.02
ACC0000492,CUST007483,Nostro,INR,2167408.68
ACC0000493,CUST003966,Escrow,GBP,4588218.29
ACC0000494,CUST006146,Escrow,AED,1717993.01
ACC0000495,CUST006868,Savings,EUR,507096.28
ACC0000496,CUST004859,Savings,EUR,340787.54
ACC0000497,CUST001861,Current,EUR,4025690.6
ACC0000498,CUST006047,Nostro,USD,1553901.38
ACC0000499,CUST008098,Current,EUR,2611007.21
ACC0000500,CUST004929,Escrow,AED,820108.75
ACC0000501,CUST006665,Savings,GBP,3660628.51
ACC0000502,CUST003343,Savings,GBP,439475.19
ACC0000503,CUST002009,Current,INR,828071.9
ACC0000504,CUST009121,Savings,INR,3924842.5
ACC0000505,CUST009366,Current,GBP,383277.8
ACC0000506,CUST001390,Current,USD,227707.16
ACC0000507,CUST001339,Escrow,GBP,2337343.49
ACC0000508,CUST009177,Current,GBP,3432878.69
ACC0000509,CUST009317,Escrow,INR,4970214.42
ACC0000510,CUST004491,Savings,USD,3893641.56
ACC0000511,CUST000926,Savings,INR,864478.59
ACC0000512,CUST005278,Savings,GBP,4279277.8
ACC0000513,CUST007829,Current,AED,4842421.45
ACC0000514,CUST008161,Current,AED,902617.4
ACC0000515,CUST008478,Nostro,EUR,1346491.5
ACC0000516,CUST003164,Escrow,GBP,818338.49
ACC0000517,CUST004498,Savings,GBP,3394882.4
ACC0000518,CUST000996,Savings,EUR,3122800.46
ACC0000519,CUST001771,Nostro,GBP,1992723.56
ACC0000520,CUST007150,Savings,INR,2419214.18
ACC0000521,CUST002856,Escrow,USD,658142.61
ACC0000522,CUST003859,Current,AED,3239931.0
ACC0000523,CUST000418,Escrow,USD,1040826.02
ACC0000524,CUST004958,Nostro,GBP,1153289.47
ACC0000525,CUST007201,Nostro,INR,2744914.79
ACC0000526,CUST009332,Current,USD,4772069.25
ACC0000527,CUST005279,Escrow,AED,2508311.1
ACC0000528,CUST002268,Nostro,GBP,10130.74
ACC0000529,CUST002518,Escrow,AED,1001224.06
